mg_id,indicator,direction,model,hp_set_id,num_iterations,learning_rate,num_leaves,min_data_in_leaf,bagging_freq,bagging_fraction,feature_fraction,lambda_l1,lambda_l2,cv_pos_rate,cv_brier,cv_log_loss,cv_auc_roc,cv_auc_pr,test_pos_rate,test_brier,test_log_loss,test_auc_roc,test_auc_pr,time
7509,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-109,40,0.9093773349002003,59,41,4,0.7340761033818126,0.9825688263401389,0,0.2354611000046134,0.06976744186046512,3.692697643770239,0.2648039133837304,0.9283564814814814,0.5323669111649969,0.23274161735700197,3.1028201597121603,1.7196518553504583,0.6459032286174894,0.3609885020237307,0.9740000000000464
7510,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-110,58,0.9808726028050296,33,12,0,1,0.9154914426617324,0,0,0.06976744186046512,3.6007987412272753,4.191394417688855,0.5716869212962963,0.202398090158064,0.23274161735700197,2.8678500986193276,11.792972214818167,0.49131573787634525,0.2858180019690553,1.1149999999997817
7511,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-111,18,0.888473236062564,26,24,0,1,0.9212247160263359,0,0.8645432535558939,0.06976744186046512,3.669796474280295,0.16448105834846632,0.9285517939814815,0.6127059024707753,0.23274161735700197,2.9349639410880664,1.274764973271986,0.6301686201036992,0.3268414729899246,0.5709999999999127
7512,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-112,28,0.5295039900648407,18,43,0,1,0.8480515251867473,0,0,0.06976744186046512,3.6562572991212643,0.1657544325327154,0.9125072337962963,0.5421605744468202,0.23274161735700197,2.9759280045312373,0.9199201610000177,0.6625364907847152,0.36882932443953753,0.5549999999998363
7513,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-113,198,0.14665533466031774,55,18,0,1,0.8584046952426434,0.6350911571644247,0.33133340952917933,0.06976744186046512,3.6907545581103673,0.13633825463426236,0.9473090277777778,0.6448730955646872,0.23274161735700197,3.0925969833019997,0.9509839082710682,0.6702703585900397,0.35849585858155447,3.600000000000364
7514,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-114,135,0.4206301420670934,31,14,0,1,0.9171582413837314,0,0,0.06976744186046512,3.71251418882066,0.2697289379781446,0.9494357638888888,0.660410169341798,0.23274161735700197,3.1044462230515437,1.9092362314794888,0.668315106095595,0.38261679007091065,2.7659999999996217
7515,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-115,97,0.3047609635000117,39,42,0,1,0.8363922260701657,0.7193030440248549,0,0.06976744186046512,3.6877594368681836,0.14735753512808455,0.939916087962963,0.6183667613964051,0.23274161735700197,3.0872470817860638,0.9641156158415208,0.6795401071848721,0.3771568825151259,1.4250000000000114
7516,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-116,181,0.4446630570408888,41,9,3,0.7172613343223929,0.9282109032850713,0.49982283799909055,0,0.06976744186046512,3.691186616551256,0.18319864240705222,0.9318721064814814,0.619792508846695,0.23274161735700197,3.01047316588079,1.335332364421329,0.6273964097424949,0.3399055517558287,1.9359999999999218
7517,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-117,43,0.27367696981411427,15,33,2,0.7753875457681716,0.870450447825715,0,0,0.06976744186046512,3.650681654888411,0.1424222905205244,0.9330584490740741,0.5965400528796267,0.23274161735700197,2.97718843549662,0.7922915927031331,0.6690530913685678,0.34663393616227733,0.6799999999993815
7518,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-118,131,0.49393373768776655,62,18,5,0.6288485886529088,0.85798555072397,0.8144070990383625,0,0.06976744186046512,3.682684358390267,0.1811904103105576,0.9137876157407407,0.6073027753247969,0.23274161735700197,3.0051890776357624,1.30886913987223,0.6279737266350051,0.3291351668006191,1.516999999999939
7519,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-119,14,0.3298151043266989,18,9,5,0.670981137547642,0.9751056704670191,0.39350776257924736,0.7375071989372373,0.06976744186046512,3.6198776117000917,0.1850698620405237,0.8847366898148148,0.3822798617295967,0.23274161735700197,2.9579612653336356,0.7363916690736815,0.659886824103525,0.33549572422173357,0.4980000000000473
7520,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-120,48,0.8367125108139589,28,14,2,0.6143416457809507,0.9121847329195589,0,0,0.06976744186046512,3.625,4.36575259073609,0.4957175925925926,0.08468777958964917,0.23274161735700197,3.1291913214990137,9.56187649114646,0.5172214718312926,0.2999915128450423,0.8460000000004584
7521,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-121,28,0.9553847573092207,37,35,0,1,0.9590612975880504,0.9077179578598589,0,0.06976744186046512,3.6267041390331176,0.8964631152335876,0.836791087962963,0.33692945508436467,0.23274161735700197,2.9723427512760425,1.7908977346880854,0.6251034813297895,0.3199102094808283,0.7229999999999848
7522,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-122,79,0.5127923988923431,60,16,1,0.7147622243501246,0.9528851376846432,0.46676795836538076,0.5708584717940539,0.06976744186046512,3.6949502097393343,0.16041084829581967,0.9360677083333333,0.6300476426964087,0.23274161735700197,3.0327963291670996,1.1468667543373574,0.6447703803755828,0.3459366773344594,1.5209999999999582
7523,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-123,168,0.931876803340856,55,33,0,1,0.9429847899824381,0.20552424807101488,0.39000082132406533,0.06976744186046512,3.6872653393740347,0.21436951865473153,0.9219184027777777,0.5808549599024782,0.23274161735700197,3.006868657413937,1.3719737667947858,0.6451897520805193,0.3625520474195507,1.337999999999738
7524,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-124,67,0.12153791610151529,37,48,0,1,0.8789661872200668,0.5007718240376562,0,0.06976744186046512,3.6634902704894583,0.13913291155189447,0.9406828703703703,0.5962987207523018,0.23274161735700197,3.0499380008560153,0.7849482473401032,0.6796272493573264,0.3619674214076881,1.8740000000000236
7525,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-125,19,0.4383524244441651,35,34,5,0.877479013428092,0.9669651251286269,0.5007718240376562,0.5161067259032279,0.06976744186046512,3.658947187585174,0.15329377423273904,0.9328269675925925,0.5481730657339206,0.23274161735700197,2.9942529647637577,0.8075239338668416,0.661038734695656,0.36017854276303496,0.6750000000001819
7526,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-126,126,0.8994084891444072,70,11,0,1,0.9354765354655683,0,0.6228314705658704,0.06976744186046512,3.7016760144366576,0.2233565518418938,0.933347800925926,0.636230184913797,0.23274161735700197,3.0598469585840307,1.820097993565259,0.6243845584070411,0.3331017848274533,3.050999999999476
7527,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-127,118,0.7150738218659535,35,18,4,0.8835358451120555,0.843747954396531,0,0,0.06976744186046512,3.373062015503876,6.880426083000077,0.5244068287037037,0.1708353100851961,0.23274161735700197,3.0857988165680474,9.135324379687484,0.5479772123219032,0.3824291262242261,1.4269999999996799
7528,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-128,32,0.758001318606548,25,18,0,1,0.8915694006253034,0.28411734849214554,0.7975896538700908,0.06976744186046512,3.6790515146388807,0.1651110040483199,0.9290364583333334,0.5893150101413831,0.23274161735700197,3.0459659822438647,1.1816651999974284,0.6207218639710688,0.3504734252814867,0.93100000000004
7529,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-129,71,0.08721937900641932,62,25,0,1,0.8015283191110939,0.7527196183800697,0.5899519617669284,0.06976744186046512,3.6634128349241775,0.13463837025578387,0.9471788194444444,0.6121779789694193,0.23274161735700197,3.055467019131184,0.7566463016055116,0.6876879003093547,0.3701556112674021,2.16399999999976
7530,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-130,80,0.3829473712667823,69,12,5,0.8837921545840799,0.886044117808342,0,0.8631268686149269,0.06976744186046512,3.709855498554441,0.18901320252159434,0.9429108796296296,0.6229390814796077,0.23274161735700197,3.1226678123534573,1.2369852638647716,0.6644046011067056,0.3675479561938881,2.4720000000002074
