mg_id,indicator,direction,model,hp_set_id,lambda_l1,lambda_l2,eta,nrounds,cv_pos_rate,cv_brier,cv_log_loss,cv_auc_roc,cv_auc_pr,test_pos_rate,test_brier,test_log_loss,test_auc_roc,test_auc_pr,time
31,v2xcs_ccsi,up,xgboost_default,run-11_xgboost_default,NA,NA,NA,NA,0.12790697674418605,3.4209705069632976,0.25907113479120597,0.9210858585858586,0.6265747738428414,0.1814595660749507,3.2573181240526528,0.7656896627594201,0.6523736249345207,0.261411517898244,10.754999999999995
32,v2xcs_ccsi,up,xgboost_default,run-11_xgboost_default,NA,NA,NA,NA,0.13372093023255813,3.386692342568141,0.23152316688377358,0.935195992607723,0.6830043995624182,0.1814595660749507,3.321911472263153,0.7383188661201102,0.7065610267155579,0.34984275498161105,12.344000000000051
33,v2xcs_ccsi,up,xgboost_default,run-11_xgboost_default,NA,NA,NA,NA,0.13953488372093023,3.3654607291505947,0.22463091871260873,0.9400416041041041,0.7259951442621002,0.1814595660749507,3.2659119895581044,0.7543826412420109,0.6776191723415401,0.2767432715003302,12.233000000000004
34,v2xcs_ccsi,up,xgboost_default,run-11_xgboost_default,NA,NA,NA,NA,0.1396702230843841,3.361868125631793,0.3124826059497544,0.8936255167230365,0.6242660086564579,0.1814595660749507,3.2898435275989013,0.7811471258434044,0.6884887375589314,0.2827609188231439,8.885999999999967
35,v2xcs_ccsi,up,xgboost_default,run-11_xgboost_default,NA,NA,NA,NA,0.11445198836081474,3.468019696576425,0.21850403255419512,0.9302541444669278,0.6295355234748033,0.1814595660749507,3.2942112377931556,0.7399838989019182,0.6836236249345207,0.2900535086639635,11.117999999999995
36,v2xcs_ccsi,up,ranger_2022,run-11_ranger_2022,NA,NA,NA,NA,0.12790697674418605,3.30503546541658,0.2190496935610738,0.9286574074074074,0.613821430468996,0.1814595660749507,2.9773497196058325,0.44420448922572997,0.7068098480880042,0.3254729652229126,60.996999999999986
37,v2xcs_ccsi,up,ranger_2022,run-11_ranger_2022,NA,NA,NA,NA,0.13372093023255813,3.2767233346815603,0.20324972639585126,0.9458386019518205,0.7029002367504015,0.1814595660749507,2.99670097165121,0.4461923651450269,0.7039123886851755,0.33111871966261863,63.663
38,v2xcs_ccsi,up,ranger_2022,run-11_ranger_2022,NA,NA,NA,NA,0.13953488372093023,3.254873594035991,0.20911137004609928,0.9511308183183184,0.6874479294767067,0.1814595660749507,2.9757339670364136,0.4466088611083027,0.6992306181246726,0.31891825604219276,62.416
39,v2xcs_ccsi,up,ranger_2022,run-11_ranger_2022,NA,NA,NA,NA,0.1396702230843841,3.2597072626122605,0.254284273647584,0.9068802455217337,0.5802447386188517,0.1814595660749507,2.999675468749504,0.4864512016210453,0.6964673913043479,0.30241167331815144,58.746999999999986
40,v2xcs_ccsi,up,ranger_2022,run-11_ranger_2022,NA,NA,NA,NA,0.11445198836081474,3.36006223390708,0.20241833239926924,0.9345842538103106,0.5935858527739494,0.1814595660749507,2.9706889756388635,0.44716416181102486,0.7025569669984285,0.3255767171269948,49.77600000000007
41,v2xcs_ccsi,up,lightgbm_2023,run-11_lightgbm_2023,0.1,0.1,NA,NA,0.12790697674418605,3.363026176718192,0.24464070191879558,0.914419191919192,0.5759504701947535,0.1814595660749507,3.2231891301273237,0.6153790797866479,0.6718046097433211,0.30763355929773983,2.8519999999999754
42,v2xcs_ccsi,up,lightgbm_2023,run-11_lightgbm_2023,0.1,0.1,NA,NA,0.13372093023255813,3.324767412546002,0.218637013290985,0.9302597023635832,0.6803267007884766,0.1814595660749507,3.253975382169513,0.6142071905588462,0.690557883708748,0.3329860163108443,2.600999999999999
43,v2xcs_ccsi,up,lightgbm_2023,run-11_lightgbm_2023,0.1,0.1,NA,NA,0.13953488372093023,3.304010544265887,0.2312029995994968,0.9286239364364365,0.6729172696525013,0.1814595660749507,3.232296510848711,0.6201663151218307,0.6817640125720272,0.29613817077312776,2.574000000000069
44,v2xcs_ccsi,up,lightgbm_2023,run-11_lightgbm_2023,0.1,0.1,NA,NA,0.1396702230843841,3.316534957029329,0.2834428201322645,0.8862034949267192,0.5856541458809948,0.1814595660749507,3.2203798224734723,0.6401125815762418,0.6700006547930853,0.27572561133629325,3.130999999999972
45,v2xcs_ccsi,up,lightgbm_2023,run-11_lightgbm_2023,0.1,0.1,NA,NA,0.11445198836081474,3.402355567764905,0.21210517562855602,0.9268197597787142,0.5837774877398438,0.1814595660749507,3.1942670308397965,0.6139728241295392,0.6677710843373494,0.27785628522252953,3.4380000000000006
