mg_id,indicator,direction,model,hp_set_id,nrounds,eta,gamma,max_depth,min_child_weight,max_delta_step,subsample,colsample_bytree,colsample_bylevel,colsample_bynode,lambda,alpha,cv_pos_rate,cv_brier,cv_log_loss,cv_auc_roc,cv_auc_pr,test_pos_rate,test_brier,test_log_loss,test_auc_roc,test_auc_pr,time
663,v2x_freexp_altinf,up,xgboost,run-07_xgboost_hp-23,93,0.227760057663545,0,6,4.3382895812392235,0,1,1,1,1,0.4859105811920017,0,0.14147286821705427,3.3304090874031824,0.2134723950212565,0.9429133553913231,0.745874732416945,0.15285996055226825,3.262223906260905,0.5154934095653879,0.7006496676555635,0.28532650310363,8.865000000000009
664,v2x_freexp_altinf,up,xgboost,run-07_xgboost_hp-24,131,0.16119759692810476,0,12,3.3276853871066123,2.2885600570589304,1,0.7832826960366219,1,0.6053438541712239,1,0,0.14147286821705427,3.3666933740230274,0.19953672484778096,0.955742292587897,0.79991517679675,0.15285996055226825,3.3164998971288773,0.5561181170233378,0.7214165008073904,0.27260150318609166,8.164999999999964
665,v2x_freexp_altinf,up,xgboost,run-07_xgboost_hp-25,28,0.5405882778577507,0,7,0.6925708946073428,0,1,1,0.7287417050683871,0.7552579899784178,0.03399019595235586,1.4681695536710322,0.14147286821705427,3.3469007653492207,0.21877742026069388,0.9412590061535607,0.73497308278969,0.15285996055226825,3.286233159285395,0.595005302617605,0.6806151188553832,0.23462998146093833,2.0860000000000127
666,v2x_freexp_altinf,up,xgboost,run-07_xgboost_hp-26,17,0.29230210348032415,0.577944383956492,12,3.9428582179825753,1.5305248636286706,1,1,0.7672643074765801,0.6628328381339088,2.214802906382829,0.6883119929116219,0.14147286821705427,3.255895232189787,0.23313669562294678,0.9309231887195027,0.6414805256365821,0.15285996055226825,3.156327048674619,0.43351827926204406,0.7055202974201059,0.2843410052851331,1.80600000000004
667,v2x_freexp_altinf,up,xgboost,run-07_xgboost_hp-27,199,0.2621282278560102,0.49965159641578794,9,2.4168866126565263,0,0.5330775614129379,0.5960754742845893,1,0.9785047266632318,0.7751270269509405,0,0.14147286821705427,3.364394808407961,0.22471599315886143,0.9465119515136522,0.7712007759377988,0.15285996055226825,3.3341865444239454,0.6773497911657189,0.7001539674790641,0.2694914998170968,14.423000000000002
668,v2x_freexp_altinf,up,xgboost,run-07_xgboost_hp-28,15,0.26910136081278324,0,11,1.6913908631540835,0,0.8685691674472764,1,0.5575107714394107,0.8666706733638421,2.3907890568953007,2.2378630985040218,0.14147286821705427,3.230977671678051,0.25294231139190704,0.9118981724852345,0.6411618536106319,0.15285996055226825,3.151565645082512,0.41130424201019183,0.7135829358969544,0.290745548906202,1.4370000000000012
669,v2x_freexp_altinf,up,xgboost,run-07_xgboost_hp-29,184,0.9484633735846728,0.6054457935970277,15,4.190058101550676,4.319394323974848,1,0.7929844183381647,1,1,2.6395209138281643,2.600541691062972,0.14147286821705427,3.3461957091710803,0.23338506481068205,0.936481492934228,0.7347920114276868,0.15285996055226825,3.2700462591809965,0.6267171668529915,0.6889293627248488,0.2471244067095909,15.340999999999894
670,v2x_freexp_altinf,up,xgboost,run-07_xgboost_hp-30,134,0.13069994212128222,0,5,1.811141105252318,2.067071065539494,0.99811135022901,0.8027522758347914,0.830761416698806,0.8314182076137513,1,0,0.14147286821705427,3.292550072447558,0.2179355210332196,0.9401342032839606,0.6991609042933744,0.15285996055226825,3.223791806644954,0.4650292889728558,0.7134702767659319,0.27078482751595867,6.411999999999807
671,v2x_freexp_altinf,up,xgboost,run-07_xgboost_hp-31,33,0.8345803695265204,0.8621096338611096,9,2.883332153316587,2.8845869132783264,0.882195703452453,0.9565607187105343,1,0.6128222215920687,0.03399019595235586,0.547223451314494,0.14147286821705427,3.3560012065942986,0.2586228900246165,0.9273052660873867,0.7182037964427396,0.15285996055226825,3.2578569390993555,0.6976026093711242,0.6708025085433175,0.23675986524039971,2.7110000000000127
672,v2x_freexp_altinf,up,xgboost,run-07_xgboost_hp-32,98,0.759128023404628,0,10,4.740426609525457,2.2387093503493816,1,0.7047843004111201,0.5611873581074178,0.5068310849601403,2.748560951789841,0.6883119929116219,0.14147286821705427,3.3635883078453497,0.23466400924931025,0.9430254491480874,0.7521626043064322,0.15285996055226825,3.3309189715551915,0.6827245770889364,0.6852378985316759,0.25909348884264377,2.2729999999996835
673,v2x_freexp_altinf,up,xgboost,run-07_xgboost_hp-33,192,0.17522556870244443,0,8,3.7131228207144886,0.11345647857524455,0.6568083417369053,1,0.7287417050683871,0.5997867723926902,0.03244360210373998,0,0.14147286821705427,3.201536077270545,0.303468997387322,0.8622831565601905,0.49003728033996174,0.15285996055226825,3.1725647552911966,0.4037662114030108,0.7190393931428142,0.27746965195354034,9.802999999999884
674,v2x_freexp_altinf,up,xgboost,run-07_xgboost_hp-34,67,0.48903613770380616,0.8864975629840046,4,0.9444308145903051,4.666454988764599,0.6535016922280192,0.6262695279438049,1,0.5136103556724265,1,0.6883119929116219,0.14147286821705427,3.2933023860930137,0.25757875343781694,0.9109047898821856,0.6284915037295067,0.15285996055226825,3.2316033916083433,0.5228311075259258,0.7057230838559465,0.2659749246168501,1.7160000000000082
