mg_id,indicator,direction,model,hp_set_id,lambda_l1,lambda_l2,cv_pos_rate,cv_brier,cv_log_loss,cv_auc_roc,cv_auc_pr,test_pos_rate,test_brier,test_log_loss,test_auc_roc,test_auc_pr,time
11,v2x_veracc_osp,up,ranger_2022,run-01_ranger_2022,NA,NA,0.08042635658914729,3.5472752452228593,0.12272146490706175,0.971955260451712,0.6685204697162975,0.03451676528599606,3.5959714498071502,0.16382848880328613,0.7243834816868525,0.06304353311255155,43.75699999999995
12,v2x_veracc_osp,up,ranger_2022,run-01_ranger_2022,NA,NA,0.09883720930232558,3.4998430072323696,0.1809024238912563,0.9386727809403331,0.5435519848539778,0.03451676528599606,3.614155871070255,0.15649041875213338,0.76133080402743325,0.0710403555615988,15.216000000000008
13,v2x_veracc_osp,up,ranger_2022,run-01_ranger_2022,NA,NA,0.08914728682170543,3.522625596585071,0.16986294042976902,0.9377717391304348,0.5314300082001946,0.03451676528599606,3.611441774591728,0.16094100251118965,0.7302349336057201,0.06256979773128044,88.66199999999998
14,v2x_veracc_osp,up,ranger_2022,run-01_ranger_2022,NA,NA,0.0863239573229874,3.511054552835348,0.13906655513999336,0.9663637014241752,0.5664066648356032,0.03451676528599606,3.60439599418833,0.16316753970650644,0.7282649934335328,0.060968141544665636,16.590000000000003
15,v2x_veracc_osp,up,ranger_2022,run-01_ranger_2022,NA,NA,0.08826382153249272,3.5125298052989415,0.15245741076127003,0.9550736497545008,0.5943265539811802,0.03451676528599606,3.603325833804587,0.16070905404470337,0.7480227637531008,0.06669441022590389,45.36200000000002
16,v2x_veracc_osp,up,lightgbm_2023,run-01_lightgbm_2023,0.1,0.1,0.08042635658914729,3.6134742886032027,0.13440924499211562,0.9648456841062881,0.6674753173400709,0.03451676528599606,3.7932756848543283,0.16563495891404295,0.7618853057055305,0.06905343788902588,2.872
17,v2x_veracc_osp,up,lightgbm_2023,run-01_lightgbm_2023,0.1,0.1,0.09883720930232558,3.5496882943237336,0.21388163506323044,0.9279464473961627,0.5580249477552959,0.03451676528599606,3.8065534831249974,0.16598308644955848,0.7681015613599883,0.06973077673833011,2.9949999999999974
18,v2x_veracc_osp,up,lightgbm_2023,run-01_lightgbm_2023,0.1,0.1,0.08914728682170543,3.5786152044480906,0.19950981815143654,0.9270120259019426,0.5133585683642387,0.03451676528599606,3.800037014718385,0.16819316666689343,0.7588209543265723,0.07075836747120469,2.850999999999999
19,v2x_veracc_osp,up,lightgbm_2023,run-01_lightgbm_2023,0.1,0.1,0.0863239573229874,3.5661328575772218,0.15043820731110888,0.9589804146091271,0.5748906761574972,0.03451676528599606,3.7808360691317406,0.16984743086762474,0.7696775134977382,0.07356534234939832,2.8190000000000026
20,v2x_veracc_osp,up,lightgbm_2023,run-01_lightgbm_2023,0.1,0.1,0.08826382153249272,3.58504325030847,0.1616656661240366,0.9555646481178396,0.6279505669829202,0.03451676528599606,3.793952167908114,0.16362617514457398,0.7650372099810302,0.07089458027238524,2.911999999999999
21,v2xcs_ccsi,up,lightgbm_default,run-01_lightgbm_default,NA,NA,0.11337209302325581,3.4263199570530563,0.22160348730230658,0.9095885292606604,0.5795326187299722,0.1814595660749507,3.2360967243473975,0.6384716712535004,0.6733924829753798,0.2913850827143808,2.2009999999999987
22,v2xcs_ccsi,up,lightgbm_default,run-01_lightgbm_default,NA,NA,0.14050387596899225,3.3069382226131814,0.21321423384475852,0.9445476810636395,0.7022816814162569,0.1814595660749507,3.228756930657417,0.6408117900073118,0.6676957831325301,0.2632995057392351,1.668999999999997
23,v2xcs_ccsi,up,lightgbm_default,run-01_lightgbm_default,NA,NA,0.13662790697674418,3.326650145283997,0.260684130748936,0.9069735972809259,0.5812072866498282,0.1814595660749507,3.221815467698551,0.6185610969885802,0.6781200890518596,0.3067110077367457,2.179000000000002
24,v2xcs_ccsi,up,lightgbm_default,run-01_lightgbm_default,NA,NA,0.12900096993210475,3.3112850896004704,0.25634720955802553,0.8983790210492825,0.526909629965686,0.1814595660749507,3.2377080616212317,0.6282641414773814,0.6844912257726559,0.3102486621868506,2.3569999999999998
25,v2xcs_ccsi,up,lightgbm_default,run-01_lightgbm_default,NA,NA,0.13579049466537343,3.3300624444467,0.22348590187511835,0.9327721661054994,0.6796276706784274,0.1814595660749507,3.2211109320744495,0.6091147861135747,0.6880533001571504,0.3171470124052081,1.5600000000000023
26,v2xcs_ccsi,up,xgboost_default,run-01_xgboost_default,NA,NA,0.11337209302325581,3.4764175142388694,0.23209181698395195,0.9214235673252067,0.6061359331456532,0.1814595660749507,3.273548383124373,0.7447596309343566,0.6727049502357255,0.2894230318666942,10.168000000000006
27,v2xcs_ccsi,up,xgboost_default,run-01_xgboost_default,NA,NA,0.14050387596899225,3.3678443404089933,0.21179237795495406,0.9514364576449093,0.7436268909576745,0.1814595660749507,3.309751361011544,0.7291201121315505,0.696418281822944,0.3115475470096367,26.081999999999994
28,v2xcs_ccsi,up,xgboost_default,run-01_xgboost_default,NA,NA,0.13662790697674418,3.3844843902546335,0.2883333483612416,0.9049916023911295,0.6076463420476786,0.1814595660749507,3.3145091471198445,0.7568425888320138,0.6717325825039288,0.32104940981188235,15.796999999999997
29,v2xcs_ccsi,up,xgboost_default,run-01_xgboost_default,NA,NA,0.12900096993210475,3.3803819699941338,0.2715635811572813,0.9016025587353684,0.6026556306761589,0.1814595660749507,3.27918860971804,0.7799009984236156,0.6692050811943426,0.301492754156378,10.659999999999968
