gwcode,year,NY.GDP.MKTP.KD,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.KD,NY.GDP.PCAP.KD.ZG
780,1996,30653536885.6366,3.79996720568195,1712.0081580279116,1.8233899847732136
781,1996,1544718134.83043,7.858646998580094,5888.072418706637,5.516029889949509
790,1996,11193827112.9875,5.328284175087484,492.21242803194826,3.0291152321465065
800,1996,225710710647.58,5.65194446499502,3766.863644330887,4.2028789900719055
811,1996,5526689596.99919,5.897505606944715,511.67037328336176,-1.7769307366454614
812,1996,3949167183.90196,6.928323728332256,782.6830789757928,4.464333457106828
816,1996,73077797034.1306,9.3400174993918,998.9249140761724,7.686226946932546
820,1996,129071719045.017,10.002700686184477,6190.464291348856,7.26193811884291
830,1996,115074063971.778,7.471390860020147,31401.877434610975,3.6314154474325053
835,1996,11433413507.5779,-0.027315465852919066,38331.72187316055,-2.400311593599778
840,1996,126494485337.077,5.860347871637364,1752.2379889093322,3.44957754738021
850,1996,410674256276.219,7.81818707670877,2012.15599830519,6.053539501491795
900,1996,736956619705.757,3.8656747916006213,40259.1772744466,2.674329129897373
910,1996,11995278888.5184,7.733695797963749,2492.0793687568244,3.9492324133925045
920,1996,106647274008.341,3.611878861511122,28596.527278832385,2.0852242879836407
935,1996,469253830.796609,2.327335416442291,2745.5954151511687,0.06778375454912566
940,1996,899122700.652142,1.6099076346424854,2270.4631356451746,-1.2830901383360986
950,1996,3143481841.86921,4.800000430209613,3910.827202730578,4.142416818866399
970,1996,127184599.01656,-0.05204677224135204,1539.345807940452,-1.731102224208177
971,1996,88449940.0423052,-11.859500947389405,8686.039481715134,-12.019630499827127
972,1996,367868457.948484,0.09291817687681507,3668.5776480644226,0.04201103777483643
973,1996,23553249.0963215,-5.961370474619188,2521.221269141672,-6.590509239908875
983,1996,164133300,-10.302957106624923,3365.111225012814,-11.239925704352743
986,1996,246284846.014379,10.400043350447618,13950.654016901495,7.529667237506901
987,1996,299126148.738451,-3.339045925367532,2701.8769560109567,-3.7585688110275237
