gwcode,year,infmort,infmort_yearadj,infmort_imputed
41,2007,62.5,1.1704829215815833,FALSE
41,2008,61.3,1.1973202471033337,FALSE
41,2009,60,1.2301176390906525,FALSE
41,2010,102.6,2.9391995104056687,FALSE
41,2011,57.6,1.2686397227731612,FALSE
41,2012,56.4,1.2881441734264434,FALSE
41,2013,55.3,1.3079200572293053,FALSE
41,2014,54.1,1.316206953629721,FALSE
41,2015,52.8,1.3190471877982037,FALSE
41,2016,51.5,1.3238312532775602,FALSE
41,2017,50.3,1.328072706014638,FALSE
41,2018,49,1.3278463844012047,FALSE
41,2019,47.8,1.3283501410551846,FALSE
41,2020,46.7,1.3346261572282083,FALSE
42,1960,102,-0.09207736287048914,FALSE
42,1961,101.3,-0.08218234130872107,FALSE
42,1962,100.3,-0.06626057372739992,FALSE
42,1963,99.1,-0.05027525981382157,FALSE
42,1964,97.7,-0.042432440005034155,FALSE
42,1965,96.1,-0.041253737012607504,FALSE
42,1966,94.4,-0.026693378969227226,FALSE
42,1967,92.6,-0.022235902967535384,FALSE
42,1968,90.8,-0.03040143469044089,FALSE
42,1969,89,-0.027260608564213223,FALSE
42,1970,87,-0.022422194256515798,FALSE
42,1971,84.9,-0.02700625987429375,FALSE
42,1972,82.7,-0.026054287462284217,FALSE
42,1973,80.2,-0.02385112616526167,FALSE
42,1974,77.6,-0.04877153492028085,FALSE
42,1975,75.1,-0.08331871417880923,FALSE
42,1976,72.5,-0.0908894610836935,FALSE
42,1977,70.1,-0.1009377605720632,FALSE
42,1978,67.9,-0.09733424125471153,FALSE
42,1979,65.7,-0.09820588075851078,FALSE
42,1980,63.6,-0.09994437745275253,FALSE
42,1981,61.6,-0.09719581533616987,FALSE
42,1982,59.6,-0.10131718513626656,FALSE
42,1983,57.8,-0.10435777784433738,FALSE
42,1984,56,-0.09881881906702988,FALSE
42,1985,54.3,-0.10242271123345924,FALSE
42,1986,52.6,-0.1053551774781281,FALSE
42,1987,51,-0.1111829211875372,FALSE
42,1988,49.3,-0.12085022191978473,FALSE
42,1989,47.7,-0.1313947608596675,FALSE
42,1990,46,-0.1448861330767146,FALSE
42,1991,44.4,-0.1435214557143243,FALSE
42,1992,42.8,-0.14628012069099636,FALSE
42,1993,41.1,-0.16344025849561356,FALSE
42,1994,39.6,-0.18417394656846656,FALSE
42,1995,38.1,-0.1948816008391375,FALSE
42,1996,36.7,-0.20691241305785826,FALSE
42,1997,35.4,-0.21505233193542136,FALSE
