outcome,from_year,for_years,gwcode,p_up,p_same,p_down
v2x_freexp_altinf,2005,2006 - 2007,600,0.07083333333333335,0.9180166666666668,0.012
v2x_freexp_altinf,2005,2006 - 2007,615,0.049,0.939588,0.012
v2x_freexp_altinf,2005,2006 - 2007,616,0.02383333333333333,0.9732381666666666,0.003
v2x_freexp_altinf,2005,2006 - 2007,620,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,625,0.172,0.7758360000000001,0.063
v2x_freexp_altinf,2005,2006 - 2007,630,0.26283333333333336,0.4356655,0.409
v2x_freexp_altinf,2005,2006 - 2007,640,0.09316666666666666,0.8696531666666667,0.041
v2x_freexp_altinf,2005,2006 - 2007,645,0.22733333333333333,0.7301699999999999,0.055
v2x_freexp_altinf,2005,2006 - 2007,651,0.16816666666666666,0.8127011666666666,0.023
v2x_freexp_altinf,2005,2006 - 2007,652,0.02933333333333333,0.969696,0.001
v2x_freexp_altinf,2005,2006 - 2007,660,0.33254285714285714,0.6440961428571428,0.035
v2x_freexp_altinf,2005,2006 - 2007,663,0.08,0.91816,0.002
v2x_freexp_altinf,2005,2006 - 2007,666,0.002,0.997002,0.001
v2x_freexp_altinf,2005,2006 - 2007,670,0.039,0.945624,0.016
v2x_freexp_altinf,2005,2006 - 2007,678,0.01,0.98802,0.002
v2x_freexp_altinf,2005,2006 - 2007,690,0.016,0.974488,0.00966666666666666
v2x_freexp_altinf,2005,2006 - 2007,694,0.007,0.992007,0.001
v2x_freexp_altinf,2005,2006 - 2007,696,0.03851111111111111,0.9586044222222222,0.003
v2x_freexp_altinf,2005,2006 - 2007,698,0.025,0.958425,0.017
v2x_freexp_altinf,2005,2006 - 2007,700,0.1988,0.7691901523809523,0.03995238095238095
v2x_freexp_altinf,2005,2006 - 2007,701,0.015,0.980075,0.005
v2x_freexp_altinf,2005,2006 - 2007,702,0.119,0.851046,0.034
v2x_freexp_altinf,2005,2006 - 2007,703,0.3143166666666667,0.61094385,0.109
v2x_freexp_altinf,2005,2006 - 2007,704,0.05842857142857143,0.9152074285714286,0.028
v2x_freexp_altinf,2005,2006 - 2007,705,0.032,0.962192,0.006
v2x_freexp_altinf,2005,2006 - 2007,710,0.09666666666666666,0.44173,0.511
v2x_freexp_altinf,2005,2006 - 2007,712,0.005,0.98505,0.01
v2x_freexp_altinf,2005,2006 - 2007,713,0.003,0.995006,0.002
v2x_freexp_altinf,2005,2006 - 2007,731,0.006,0.987042,0.007
v2x_freexp_altinf,2005,2006 - 2007,732,0,0.997,0.003
v2x_freexp_altinf,2005,2006 - 2007,740,0.003,0.996003,0.001
v2x_freexp_altinf,2005,2006 - 2007,750,0.024,0.9411428571428572,0.03571428571428571
v2x_freexp_altinf,2005,2006 - 2007,760,0.5641666666666667,0.4266808333333333,0.021
v2x_freexp_altinf,2005,2006 - 2007,770,0.041,0.947492,0.012
v2x_freexp_altinf,2005,2006 - 2007,771,0.032,0.961224,0.007
v2x_freexp_altinf,2005,2006 - 2007,775,0.006,0.994,0
v2x_freexp_altinf,2005,2006 - 2007,780,0.19925,0.5930221041666667,0.25941666666666663
v2x_freexp_altinf,2005,2006 - 2007,781,0.4495,0.48306375,0.1225
v2x_freexp_altinf,2005,2006 - 2007,790,0.57,0.3900100000000001,0.093
v2x_freexp_altinf,2005,2006 - 2007,800,0.1565,0.4978055833333334,0.4098333333333333
v2x_freexp_altinf,2005,2006 - 2007,811,0.009,0.985054,0.006
v2x_freexp_altinf,2005,2006 - 2007,812,0.005,0.994005,0.001
v2x_freexp_altinf,2005,2006 - 2007,816,0.063,0.925756,0.012
v2x_freexp_altinf,2005,2006 - 2007,820,0.263,0.723734,0.018
v2x_freexp_altinf,2005,2006 - 2007,830,0.012,0.986024,0.002
v2x_freexp_altinf,2005,2006 - 2007,840,0.075,0.903725,0.023
v2x_freexp_altinf,2005,2006 - 2007,850,0.036,0.951468,0.013
v2x_freexp_altinf,2005,2006 - 2007,860,0.012,0.972192,0.016
v2x_freexp_altinf,2005,2006 - 2007,900,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,910,0.001,0.997002,0.002
v2x_freexp_altinf,2005,2006 - 2007,920,0,0.998,0.002
v2x_freexp_altinf,2005,2006 - 2007,940,0.092,0.884392,0.026
v2x_freexp_altinf,2005,2006 - 2007,950,0.012,0.985036,0.003
v2x_freexp_altinf,2006,2007 - 2008,2,0.042,0.955126,0.003
v2x_freexp_altinf,2006,2007 - 2008,20,0.002,0.997002,0.001
v2x_freexp_altinf,2006,2007 - 2008,40,0.01866666666666666,0.9783893333333332,0.003
v2x_freexp_altinf,2006,2007 - 2008,41,0.153,0.8041418,0.0506
v2x_freexp_altinf,2006,2007 - 2008,42,0.008,0.989024,0.003
v2x_freexp_altinf,2006,2007 - 2008,51,0,0.998,0.002
v2x_freexp_altinf,2006,2007 - 2008,52,0,1,0
v2x_freexp_altinf,2006,2007 - 2008,53,0.002,0.998,0
v2x_freexp_altinf,2006,2007 - 2008,70,0.07125,0.8974820833333333,0.03366666666666667
v2x_freexp_altinf,2006,2007 - 2008,90,0.006,0.994,0
v2x_freexp_altinf,2006,2007 - 2008,91,0.026,0.967669,0.0065
v2x_freexp_altinf,2006,2007 - 2008,92,0.023,0.966253,0.011
v2x_freexp_altinf,2006,2007 - 2008,93,0.069,0.6343989166666666,0.3185833333333334
v2x_freexp_altinf,2006,2007 - 2008,94,0,0.995,0.005
v2x_freexp_altinf,2006,2007 - 2008,95,0.002,0.99301,0.005
v2x_freexp_altinf,2006,2007 - 2008,100,0.041,0.8941076666666666,0.06766666666666665
v2x_freexp_altinf,2006,2007 - 2008,101,0.174,0.7557900000000001,0.085
v2x_freexp_altinf,2006,2007 - 2008,110,0.024,0.962336,0.014
v2x_freexp_altinf,2006,2007 - 2008,115,0.001,0.996003,0.003
v2x_freexp_altinf,2006,2007 - 2008,130,0.019,0.9618705,0.0195
v2x_freexp_altinf,2006,2007 - 2008,135,0.0034,0.9592275,0.0375
v2x_freexp_altinf,2006,2007 - 2008,140,0.022,0.955017,0.0235
v2x_freexp_altinf,2006,2007 - 2008,145,0.223,0.6800045,0.12483333333333332
v2x_freexp_altinf,2006,2007 - 2008,150,0.0045,0.9845495,0.011
v2x_freexp_altinf,2006,2007 - 2008,155,0,0.997,0.003
v2x_freexp_altinf,2006,2007 - 2008,160,0.008,0.978112,0.014
v2x_freexp_altinf,2006,2007 - 2008,165,0,0.996,0.004
v2x_freexp_altinf,2006,2007 - 2008,200,0,1,0
v2x_freexp_altinf,2006,2007 - 2008,205,0,1,0
v2x_freexp_altinf,2006,2007 - 2008,210,0.001,0.997002,0.002
v2x_freexp_altinf,2006,2007 - 2008,211,0,1,0
v2x_freexp_altinf,2006,2007 - 2008,212,0,1,0
v2x_freexp_altinf,2006,2007 - 2008,220,0,1,0
v2x_freexp_altinf,2006,2007 - 2008,225,0,1,0
v2x_freexp_altinf,2006,2007 - 2008,230,0,1,0
v2x_freexp_altinf,2006,2007 - 2008,235,0,1,0
v2x_freexp_altinf,2006,2007 - 2008,260,0,0.999,0.001
v2x_freexp_altinf,2006,2007 - 2008,290,0.001,0.994005,0.005
v2x_freexp_altinf,2006,2007 - 2008,305,0,1,0
v2x_freexp_altinf,2006,2007 - 2008,310,0.039,0.927365,0.035
v2x_freexp_altinf,2006,2007 - 2008,316,0,0.999,0.001
v2x_freexp_altinf,2006,2007 - 2008,317,0.016,0.972192,0.012
