outcome,from_year,for_years,gwcode,p_up,p_same,p_down
v2x_freexp_altinf,2005,2006 - 2007,572,0.05325,0.937755875,0.0095
v2x_freexp_altinf,2005,2006 - 2007,580,0.1135,0.822672,0.072
v2x_freexp_altinf,2005,2006 - 2007,581,0.0465,0.93872075,0.0155
v2x_freexp_altinf,2005,2006 - 2007,590,0.005,0.9905225,0.0045
v2x_freexp_altinf,2005,2006 - 2007,600,0.125375,0.8636921875,0.0125
v2x_freexp_altinf,2005,2006 - 2007,615,0.0605,0.9310445,0.009
v2x_freexp_altinf,2005,2006 - 2007,616,0.0315,0.95542525,0.0135
v2x_freexp_altinf,2005,2006 - 2007,620,0.002,0.998,0
v2x_freexp_altinf,2005,2006 - 2007,625,0.5631666666666666,0.38375808333333344,0.1215
v2x_freexp_altinf,2005,2006 - 2007,630,0.2761666666666666,0.3710852222222222,0.4873333333333334
v2x_freexp_altinf,2005,2006 - 2007,640,0.1875,0.77878125,0.0415
v2x_freexp_altinf,2005,2006 - 2007,645,0.5215,0.43894400000000006,0.08266666666666667
v2x_freexp_altinf,2005,2006 - 2007,651,0.1145,0.8757594999999999,0.011
v2x_freexp_altinf,2005,2006 - 2007,652,0.03150277777777778,0.967528725,0.001
v2x_freexp_altinf,2005,2006 - 2007,660,0.3721666666666667,0.6089983333333332,0.03
v2x_freexp_altinf,2005,2006 - 2007,663,0.02825,0.968348875,0.0035
v2x_freexp_altinf,2005,2006 - 2007,666,0.0045,0.9925135,0.003
v2x_freexp_altinf,2005,2006 - 2007,670,0.0683,0.91073675,0.0225
v2x_freexp_altinf,2005,2006 - 2007,678,0.0405,0.9547025,0.005
v2x_freexp_altinf,2005,2006 - 2007,690,0.022,0.965775,0.0125
v2x_freexp_altinf,2005,2006 - 2007,694,0.014,0.979098,0.007
v2x_freexp_altinf,2005,2006 - 2007,696,0.08170833333333333,0.9104861875,0.0085
v2x_freexp_altinf,2005,2006 - 2007,698,0.03116666666666667,0.9450969166666668,0.0245
v2x_freexp_altinf,2005,2006 - 2007,700,0.2465,0.7015085000000001,0.069
v2x_freexp_altinf,2005,2006 - 2007,701,0.0155,0.9845,0
v2x_freexp_altinf,2005,2006 - 2007,702,0.13566666666666669,0.41920166666666664,0.515
v2x_freexp_altinf,2005,2006 - 2007,703,0.332,0.5557759999999999,0.168
v2x_freexp_altinf,2005,2006 - 2007,704,0.062375,0.937625,0
v2x_freexp_altinf,2005,2006 - 2007,705,0.108,0.846954,0.0505
v2x_freexp_altinf,2005,2006 - 2007,710,0.25554166666666667,0.35734,0.52
v2x_freexp_altinf,2005,2006 - 2007,712,0.0105,0.967731,0.022
v2x_freexp_altinf,2005,2006 - 2007,713,0.0155,0.9795775,0.005
v2x_freexp_altinf,2005,2006 - 2007,731,0.0155,0.9845,0
v2x_freexp_altinf,2005,2006 - 2007,732,0,0.9915,0.0085
v2x_freexp_altinf,2005,2006 - 2007,740,0.0025,0.97306125,0.0245
v2x_freexp_altinf,2005,2006 - 2007,750,0.0215,0.929575,0.05
v2x_freexp_altinf,2005,2006 - 2007,760,0.82225,0.16912912499999996,0.0485
